Species,Plot,Elevation,sex,bodysize,headlenth,headwidth,thoraxlenth,thoraxwidth,elytralenth,bodywidth,femur,tibia,antenna,hindwing,leglenth
Nicrophorus quadripunctatus ,1,1100,0,14.51112,3.37292,2.8581,3.6278,4.26183,7.5104,5.79901,3.47269,3.48856,3.30589,16.7,6.96125
Nicrophorus quadripunctatus ,1,1100,0,15.69865,3.77956,3.15434,3.99449,4.73708,7.9246,6.21319,3.90201,3.81185,3.35369,17.2,7.71386
Silpha perforata,1,1100,1,18.20547,3.20175,2.70329,5.01182,7.75796,9.9919,8.00526,4.56638,4.70863,5.7803,1.33981,9.27501
Nicrophorus tenuipes,1,1100,0,20.90426,5.09955,4.47165,4.91692,6.28257,10.88779,7.9929,5.522,5.50963,4.96545,24,11.03163
Nicrophorus maculifrons,1,1100,0,16.62474,3.52631,3.46792,4.02477,4.82747,9.07366,6.80754,4.05204,3.77167,3.77343,20,7.82371
Nicrophorus maculifrons,1,1100,0,18.76461,4.54044,3.86313,4.4863,5.3198,9.73787,7.25739,4.30478,4.14909,4.15369,22,8.45387
Nicrophorus concolor,1,1100,1,28.37321,6.81182,6.10817,7.58702,9.64166,13.97437,11.41186,6.65291,6.13655,6.43312,33.5,12.78946
Nicrophorus quadripunctatus ,2,1100,1,17.63306,4.41297,4.20533,4.09599,5.3472,9.1241,6.72587,3.83878,4.2536,4.28059,19.2,8.09238
Nicrophorus quadripunctatus ,2,1100,1,14.59586,3.3961,3.25497,3.8787,4.35898,7.32106,5.85684,3.46766,3.64796,3.47482,16,7.11562
Nicrophorus quadripunctatus ,2,1100,0,16.69749,3.72868,3.38458,4.31954,5.11772,8.64927,6.36095,4.27887,3.78722,4.04815,19,8.06609
Nicrophorus quadripunctatus ,2,1100,0,16.38613,3.5939,3.46115,4.21764,4.91934,8.57459,6.42119,4.05059,4.01686,3.80269,17.8,8.06745
Nicrophorus quadripunctatus ,2,1100,0,14.85403,3.48878,2.89408,3.60912,4.31142,7.75613,6.03181,3.92306,3.61942,3.70219,16.1,7.54248
Nicrophorus tenuipes,2,1100,1,18.55636,4.90594,4.32054,4.34264,5.8397,9.30778,7.15332,4.51009,4.95618,4.59598,22,9.46627
Nicrophorus tenuipes,2,1100,1,16.70679,4.02088,3.70512,4.01618,5.1987,8.66973,6.65604,4.47992,4.57375,4.43827,18.5,9.05367
Nicrophorus tenuipes,2,1100,1,19.51433,4.96813,4.60189,4.70061,6.20176,9.84559,7.48139,5.14956,5.16397,4.96941,21,10.31353
